audit_id,sequence,split,old_category,new_category,category_changed,old_screening,new_screening,new_visual_reason,old_visual_reason,image_sha256,crop_sha256
011,ball09_wild,fit,basketball,american-football,True,supported,supported,手持椭圆棕色球，具有美式橄榄球形状和缝线。,手持棕色篮球可见。,95eb21643a4f506f2073d6168850ccdff9facb92dc8e2d96a81b2f2b9362585b,fc84526e4f3baddcfc12354ca42a588af6a3786bbac2b25687ee95e81a4d6693
012,ball12_wild,fit,soccer ball,soccer ball,False,supported,supported,黄色黑色拼片足球清楚可见。,拼块足球可见；含黄色和深色区域。,0bc1a78457b29fdbbb9e50adabcb2be9ca70b20c94dd099c3da6a69285b56e4a,c4d500c6df41d75d8372b359aec3a2f1de2fb615b4369ce3cfbfac0466b81900
013,ball13_indoor,fit,cup,ball,True,conflicting,supported,手中小白球与ball相容。,框内为近球形白色物体，未见杯口、杯壁；周围桌面有其他杯子。,ad93678eabe715d96c09241d3461782bbf64b7a0a49a295f0db0194408a8cf60,028cc9bc6f575216dd084c5f9ed4273fac28a78ca74ed5c4772f80f214640906
014,ball14_wild,fit,basketball,basketball,False,supported,supported,双手持橙色篮球。,篮球形状和沟槽可见。,86bab814de20b36897fd4f39d1d5802c3d6ba32dd6e03dfd9434386c3c794a8c,e933eb8624727c23d8016c955e0624e0e25f81bef24c666dab729703da9a5a79
015,ball16_indoor,fit,fruit,mango,True,uncertain,conflicting,可见带图案球体，不符合芒果外观。,暗色圆形物体带彩色花纹；水果和绿色果柄均缺乏充分证据。,e34abdfaa3d2e4dbcc7bf47d9c5375fef02250b5c220051c1f844b618344bf56,a71f5929fbc807101d4f3564ce929afae589863d1400a820832e413f3b8db224
016,ball17_wild,fit,basketball,basketball,False,supported,supported,橙色球的篮球接缝可见。,篮球沟槽与橙棕色表面可见。,0b0e9f54b349d39765aa1fe662ef7eb7c9e5a32da24d029f755d13d12529e198,b252717d724223fd7ec1f19b71a22e36af0d184180deb5aea0b27a06216f42af
017,ball19_indoor,development,ball,basketball,True,supported,supported,手持篮球清楚可见。,棕色球体可见。,76dc90271b1a1415951506f1808f88bbc582493a82124d66614ceebe361f964f,9a1b23d4d0a802d36a47a721dd29481d386d615644b4f2d12aac6b228e672da1
018,ball21_indoor,fit,soccer ball,soccer-ball,True,supported,supported,目标为绿色黑色拼片足球。,绿色拼块足球可见；黄色属性不明显。,e5fdc3a63127346f8e1fad58c5818d9edaf47105986b4d42c82fec98f364fe0b,1df3208fbec20925c08e3f0845dbec2ccb0ce6d461b1a6662d90b4789570c432
019,basket_indoor,fit,computer,computer,False,conflicting,conflicting,框内为网状收纳容器，computer不符合目标。,框内为开口容器或垃圾桶，未见电脑结构。,b3cd9f4754ae64ee88c037b9e450800d9dd76de511c201218f97ac338408220b,e6543fd059a472f02e50febc23050b0149e1a72efa605cadebf69a634357a70f
020,beautifullight01_indoor,development,ball,egg,True,supported,conflicting,手持大白色球形物，不符合蛋的形状和尺度。,白色球体可见。,feef242163281d7aec96e8bc90891645b7154cfdd9bfb95ec5a4d293dfa7cf61,1c6507fe91db296b372073544d02254731f82c563151928d166df642eedbd553
021,bike01_wild,fit,bicycle,bicycle,False,supported,supported,自行车车架车轮完整可见。,自行车与后架粉色物可见。,3cf4aed940109521c86ee400049007aa06ccd545a9b4292cedc3ad44eec89601,af148965a2379ac2e90a336cb3082913b951d30daca3c040b66e617efcac4d4a
022,bike02_wild,fit,bicycle,bicycle,False,supported,supported,框内多辆自行车，目标轮廓与bicycle相容。,橙白自行车可见，车架文字细节不足。,f322aa532fecde23b0e44eadfcc84b6ab4daf0696eae06be0259b73b7c3d119e,173466e89284fbdf921c7cec8863f4cf4fc0decdf5999b21a1f462cd0b98ff4f
023,bike03_wild,fit,bike,bicycle,True,supported,supported,指定区域为自行车。,银色车架与橙色车轮可见。,ef36c677c8c49cc86d0b0b4c568165b563bc0fd924e6678e0797fb2777657bf0,a7e918be9681e56771102b4beb7b711bd60a81fa4f7d1ab7d8306a369ebbf160
024,book01_indoor,fit,book,book,False,supported,supported,目标可见封面及层叠页边，与书本相容。,侧视书本外形可见；open属性不能据此确认。,9127fde5eb6e5e72c4cdf5c7c616dd18fbf6423bb8784be5459afd09c49d374e,315769d0d0eb40cf04040b142521c939d973331a04eae5b6822f0fe5ef0cd7fa
025,book02_indoor,fit,book,book,False,supported,supported,平放物有封面与书页边缘。,书本及绿色封面可见，封面文字存在但内容未核验。,95c4d9a3d9ff9febde2a553cc1a9afc3bd5f3d874555f430f246e08741832656,5b4614022a872a363c4c18739519a0bca7ba877290d329dd03679ab82366b45f
026,book04_indoor,fit,book,book,False,supported,supported,绿色黑色封面及书脊可见。,黑绿书本可见；具体标题须原图文字核验，未直接接受。,1b6c5dc8c2d662b892afe58ec0a29ea4b5dfad293a7c41995ff284ad67be4dcc,5907c12f286a53a51fbd956c32463068f7e9f383b1c3321f726323efe0ef4160
027,book05_indoor,fit,book,book,False,supported,supported,手边叠放书本清楚可见。,书本与绿色书脊可见。,75840ff526401492d2bef2f5aac225b9ccf9b413ca89472759b69294f8df7fbf,81cf6c0282e51b5ec6a563003d3bc07132fe6646a608f5f913f0ec2e6fe5937f
028,book06_indoor,development,cup,cable,True,conflicting,conflicting,目标红框对应书本区域，可见封面和书页，不是线缆。,协议框主要覆盖书本，左侧杯子侵入框内；cup未指向主要框选书本。,232ee2b25d8a8f7794a35213ae9a38d4039802bb11abee619fc2dabd8d25687b,6eb5a6c989998ab5bd9842e6f4d7bbb52814ec2cc685e3dcda24aac7bc498bf3
029,bottle01_indoor,fit,bottle,bottle,False,supported,supported,蓝色容器具有瓶身与瓶口。,蓝色瓶状物、瓶颈及瓶身可见。,8676fba4f4883180b6eebed6075c4710fa66c092238ebac071aabc58f228ab80,517a4e871f605c6a3622b5e7139facd64c50066072ad8548b6d9599ce61765cb
030,bottle02_indoor,fit,bottle,dishwashing liquid,True,supported,supported,目标为标有洗涤品牌的透明液体瓶，与洗洁精相容。,瓶子与标签可见，透明程度和标签颜色受光照影响。,b699acc81de434453b8c1a3f42ecade41e4d9c6d16a6c0c9feef58acf7a67800,01b2d2dcc30f276aa5d0bdc4521407c9a33d7ade1bdc525573ca526807f5c2bc
031,bottle03_indoor,fit,spray bottle,spray-bottle,True,supported,supported,橙色瓶带明显扳机喷头。,橙色喷瓶与红色喷头可见。,78d89309b43d2c11c43e59120fa56b44c1ed7acb9731be5143c29f965fcfd5aa,e7070baf9664979cd3856ab3d63f4a6e1c8774370275cc87df83cbb4521331fd
032,bottle05_indoor,fit,bottle,fork,True,supported,conflicting,目标呈透明瓶状，有收窄瓶颈和较宽瓶身，不见餐叉结构。,透明细长瓶状容器可见。,b2db936c17d0c44c06f0f2f006955f824997e0565bb42c9329dd2819f97dfa78,4247d023acca079a528bfb48513376bd1e61319db0b9890713adfb68331d59d6
033,bottle06_indoor,fit,plastic container,bottle,True,supported,uncertain,透明容器及绿色图案可见，瓶口和颈部细节不足，不能确认瓶与杯的细分。,透明容器和绿色部分可见；具体材质及绿盖位置仍不确定。,4e0803a172b894440a730f59cb9b91ce590bc48bd4d5878beff202d99e1ff290,834469fec27b8707d5dac80c0c43406d972086067b9ca85293916758fcac6fb9
034,box_indoor,fit,box,book,True,uncertain,uncertain,很小的白色矩形目标细节不足，不能确认书本。,极小白色矩形物体，像素不足以确认盒子。,49a83b0a21dd3e23c85f55feba523cd55103be2d117406e1a8f8171c553b52ec,ab233277cb918b57febd853d09beecf72f73b9ad6e2124014a9e794d744c8f8a
035,candlecup_indoor,fit,shell,potato,True,supported,conflicting,可见层叠叶状结构，不符合土豆表皮。,手持壳状物及螺旋纹理可见。,2fcf4e5a95591b53e1138eadf44f9afd4730ad84cb847a12778132c883ce3244,7744e7b8997bdda1e87275b88df1e3832d685c6459512fdc82137f06f9f21d57
036,car01_indoor,development,car,car,False,supported,supported,玩具汽车车轮车窗清楚，car相容。,蓝白玩具车可见；并非四个轮子都直接可见。,88ca09678b5ee366975f17aac03e7a8a52025557cfcc5d97ee8c1089bac7069c,d943c8080227811c5df2dff48858bf3c422af029ed3f1fe2f16ffe57485a474c
037,car02_indoor,development,car,car,False,supported,supported,地面白色汽车模型清楚可见。,车的形状明确；open hood与可见车头不符或缺乏证据。,ec6d96a7953f7bb893659b62610c72022e47d73fdfb49e9760453be732bb9351,181fd9e4e6bb77f3dcfc779c90dd16894ae11fbc07de2d00a23575fa487bf2e9
038,cart_indoor,fit,cart,trolley,True,supported,supported,带轮金属手推车结构明确。,带轮金属推车架可见；blue carpet属于框内背景而非车体。,b88075c3c4ca0c17e2baf27401e9be08ba1a8952a408fc10fc6eb08d80d524a6,e068b812e7828c9add3436bbda8218f6db137f999d74e4e61b4929849b633516
039,cat02_indoor,fit,cat,cat,False,supported,supported,人物怀中猫的身体头部清楚。,黑白猫可见；被人托举，lying down表述不准确。,92304f674344d98a92fce16fc6b01a9f5b3f406cbb26f14a7d852f9c77e3f87e,a18094cd6ea76a319d6841923053d1c0c9ef27935c1fc2796bdba3461b70c0ea
040,cat03_indoor,fit,animal,cat,True,supported,supported,暗处黑白猫的面部轮廓可见。,黑白动物轮廓可见，粗类别animal有支持。,9f65a9af8ebdc5a489799b343d2131ea572ba5a15243209a10e9c9b6ab98c5f9,aac5c1813e442f9f0b4939a2fc7db7b7c5d7d151008fd05a01750b4beea1763a
041,cat04_indoor,fit,cat,cat,False,supported,supported,猫背影的双耳和身体轮廓清楚。,黑猫坐姿可见；looking out window为当时关系，不是持久属性。,9afeb96852b86ab54984c9f0e87060a5e05ba01157e11119ec1bb0f0eecccb83,551058d760ef7b90447ac9cd56ccf638a262ec1569baa349d7958a71663863cf
042,cat05_indoor,fit,mask,banana,True,uncertain,conflicting,暗处目标为猫的头部，banana与对象结构不符。,画面过暗，黑白弯曲区域不足以确认mask或材质。,f20500cb3869d3c9bae5b545d015654bb4f5094911cc71f7d26485f857ab62a8,7179d4a28f518dfb0b503bbd9528e6c2c7941d5b8f433be7ced10e66fb5a7cbc
043,chair01_indoor,fit,office chair,office chair,False,supported,supported,带扶手、滚轮和靠背的办公椅清楚。,办公转椅、扶手和轮脚可见；皮革材质未证实。,2ba331de07018bf2da26ed2de82cad123e50d1b2386966929eb6b667ffd1125f,7f37028e973d7a836c05b5db83f88752bade4a478f3e9cbb950efea92c426aff
044,chair02_indoor,fit,chair,chair,False,supported,supported,黄色靠背椅清楚可见。,黄色椅子可见；金属与木材不能仅凭颜色确认。,84a9fdcc9dd11d527295871c003d7f001f7a35be8f925278776537aee7248e4d,353a3bcba43f9dab26ae03467118d3e24555b9975e12bb072394352db3c7b90d
045,clothes_indoor,fit,shirt,t-shirt,True,supported,supported,悬挂短袖T恤。,白色圆领短袖及印花可见。,9e70fa1f77d6379e484249cd140984c5f731b962b541a8f9de3e67ceb6056795,226654815f9344d1bb5ba642d4bbe9068b9afffaaaddc4694ab9c3b380fa3a88
046,colacan01_indoor,development,soda can,canned-food,True,supported,uncertain,饮料样金属罐可见，但canned-food的食物类别缺乏支持。,红色饮料罐可见；品牌文字分辨率有限。,a57020ad6e5fafd0b66ceed050a09d09b1ef1111a634b290b17ed04484536aa7,74d87f0e839ceb5b725ba78da20c4e5a9e4717c6115092db03e2e0c435e8447a
047,colacan02_indoor,fit,coca-cola can,beverage,True,uncertain,supported,悬挂饮料罐，与beverage相容。,红色易拉罐有支持，但指定coca-cola品牌无法在当前裁剪中可靠读出。,0e84721f9d1c32d453e17310d1bd4131d2888ea49c42deb04fd29dc6d479dbc9,371eb3d83ca7402a517acec8059a866dd3470b797cdcda63718345a59d515ead
048,colacan04_indoor,development,can,canned-food,True,supported,uncertain,白蓝色包装罐清楚，但内容是否罐头食品不能从该帧确认。,圆柱罐状物可见；可见标签以白底蓝区为主，白字不明确。,f19a537891be0f97f7fffb8d810099234fa436ccdd29501c6d9fc47d2bf60c6f,9195b2ce2aa0843ae99fe64b1705f5469ed3cf3d6fa6a975b52a1cedd601db8b
049,container01_indoor,development,plastic container,storage-box,True,supported,supported,透明塑料收纳箱结构明确。,透明长方形收纳容器可见。,b251f656475e560dae37e5aef7a273dd507d7257e338a94b08cd94caf53f2c06,0fe78af16b63ebef43f8ddc773b56b7f77a188635bd4c6a06709826630c8bb2a
050,container02_indoor,fit,box,box,False,supported,supported,架上的绿色长方形箱子清楚。,绿色长方形箱体可见。,8013757a4ca0dbbe8fdbddee0b24c18428a02eda78553be04c0cc8740187d157,83ad9b6e2ff7bc1b65716d1657f2d5024afc756f6730c24c7af94fa20b71565c
051,cube01_indoor,fit,wooden block,number,True,supported,uncertain,数字确实印在目标木块表面，但number不是整件物体的明确类别。,带数字的木色立方块可见；精确数字81不可确认。,fa332c712aa68b85f6c8ef3737a68b5baaf2e2b8debf11a2e7544e5c2baf1c24,c7cc4147507bb43cb7efb07ad6bbcf6767a168a9f25875ce07596e071e620527
052,cube04_indoor,fit,box,arrow,True,uncertain,uncertain,木块表面的符号可见，不能确认arrow作为整件目标类别。,木色方块上为深色印记，无法确认是盒子；black handle未得到支持。,01f1abc0116d865af5e7d2c55eeb2ca501b4dacf9836764168faaba336b683eb,8c27c519d83d6158997493dbd41c2998fe93ae3a19d79ccaf99722a061269550
053,cube06_indoor,fit,wooden block,number,True,supported,uncertain,木块有数字0标记，number未说明承载标记的物体类别。,木色方块及0数字可见；4可能对应旁边物体而非该目标。,209503175218f633ef8e41b99bd9b5054766acf7330c59385a3014772d5ce39f,d72596510c908e41115e5bf2dfe5ccc0e65f9246fa316e130334889c1a3e151f
054,cup03_indoor,fit,cup,headphones,True,supported,conflicting,黑色带把杯子有白色杯口，不是耳机。,杯口、杯身可见；白色主要为内壁，外壁较暗。,6a89eee94736d419102c9b52e2d518a3f026f6fab8d679f89026ae72aa665458,5815454ba728643c1b0928a05983d26478e7bbf750609cdd61e69d9aa0ad153b
055,cup05_indoor,fit,camera lens,camera-lens,True,uncertain,uncertain,镜头造型的圆柱物可见，无法仅凭该帧排除镜头形杯子等仿形物。,黑色圆柱体具有镜头样外观，但可能为仿镜头容器；初帧无法确认功能类别。,b8e4b12cc1836e479ee348586f2dcfc1e35fae63b60d514a63adbe04e0d3e953,7a1f3062fc426f80371c7168737968e7a436d0f94fe0e92b970efeb28422dddc
056,cup06_indoor,fit,cup,cup,False,supported,supported,倒置红色塑料杯。,倒置红色杯子可见。,edda573fbf19c4ce4621163654183cacb39fa24bad9fca7f11e463d7bf01e121,1b2b0d054667ea617350093cddd979b6ecf2792e57d85c1bac1970b75b60bcca
057,cup07_indoor,fit,cup,cup,False,supported,supported,白色杯状容器，杯口清楚。,白色杯子及杯口可见。,542e7a7fae85e0717ad2582feab8b14f167ec862aa06f1986e2d3a5eac087a0f,7157a9a631b19814dace929383065cd60604f289ba61eb8b8f9d0bbbdefe9178
058,cup08_indoor,development,cup,mug,True,supported,supported,白色杯体和把手区域与mug相容。,白色杯子及杯口可见。,77d4f31cba1aa5543c163dfc5c5db8dbf919c1453901b50c628901c348f81d0b,376bce2cdde8219e16c6a5014bde6e0d75f40d52a5008a68dfd7860349fd288d
059,cup09_indoor,fit,mug,mug,False,supported,supported,装有深色饮品的白色杯子。,白色杯子可见；暗色内部不足以确认咖啡。,6ef028681a8e49a8d1385f3632585d3c405c1d194ba72a3532ddb745a8c013cf,7506f4ebafc4b056b51bd4c053f8f839ac59ee3f97e8731eed47468a5d0293e8
060,cup10_indoor,development,cup,cup,False,supported,supported,红色塑料杯，内部放有橙色球。,红色杯子可见，塑料材质仅为外观推断。,daa44a63e7972cc12098ba14cad0ba604685513798fc870fe4153406905b4bd6,e85a5814fcdcbfe5d932d9aaa8c7e8f46022ae46a694739a18eceb51d9103361
061,cup11_indoor,fit,cup,chair,True,supported,conflicting,框内为桌上小白杯状物，chair不符合对象和尺度。,直立杯状容器可见；颜色偏白，蓝色可能受光照影响。,c24935d87d7c01d832b895a49d4fa9f7cc7cf1707da5261b47bf8a1fdb94e848,50a04d52b706292061244d44e47204552592a97f6ed6beca76a1dee750c7c0f6
062,cup13_indoor,development,phone,cup,True,conflicting,supported,手中带图案杯子，杯口可见。,手持对象呈杯身及椭圆杯口，未见手机屏幕；red screen无对应证据。,5dd68aaf73a195de534dec4b6d76cd4f970ea4b9dfc303ecfd2e8f0b015a143c,be515384146240ef282674ea5b248c565fa8396297ad2d439481a56e054400b9
063,cup14_indoor,fit,cup,cup,False,supported,supported,桌上带花纹杯状容器。,白色杯状物与暗色杯口可见。,e1b638e70633237851e7795900b489af266020c30e563f0057da7b334aa957d9,fce216a47b3bee3e3bd991cde3618a58b771a9d8c772215408d85e39501c5437
064,duck01_wild,fit,duck,duck,False,supported,supported,水面鸭子形态清楚。,水面鸭子与喙可见；蹼足未显示。,2005f186dc92aac3c145e08339d890edba989315c26fb07ce3091bc72de3bbfa,25bea434f954cd1aa95834036cb56fd3c81392be44fbe00d460ba0ca4ecb7783
065,duck02_wild,fit,duck,duck,False,supported,supported,可见鸭的头部、喙和羽毛。,鸭子头身与棕色羽毛可见；黑头描述不够准确。,8d6192ef6388943533a497f46917b86e7bdf2e7b2b00206ef8669065c052b176,4e75eb517aca48e33d49af09ca0de2907718a4ebc27bec711dcc1b29c5c812ba
066,duck04_wild,fit,duck,duck,False,supported,supported,可见站在碎石地面的鸭。,棕色鸭子体态可见；长尾和白色头纹未明确支持。,555a12e3dd3613716d8818541aac4616f90cd9fc97f3be37766720c06e61dd09,67f17eb98069442e4909dd077502f285d5924a33221ca7e3c5ad7339606f9bbd
067,duck05_wild,fit,bird,duck,True,supported,supported,可见低头活动的鸭及其羽毛身体。,鸟类外形明确；蹼足细节并不清楚。,da597aad8d2f091f7648aac5806a93ced71ff2d264f0d5fa153aeffabe49a66d,9701e2cf843ac82d85559927337d110b7307dff6b49f674ba0321eca71ad59c9
068,duck06_wild,fit,duck,cat,True,uncertain,conflicting,目标位于水面，具有鸭的喙和羽毛身体，未见猫的外形。,水面目标很小且遮挡较强，鸟状物可见但鸭的细分类不充分。,73eef3db414847bc2be7f3b69477643317e024ddbc549e4045b7e656bf88fec4,b5f4314d4e2871fce5be4b98163fc828393afdf3344a15af11e39c1a6ebc6913
069,dumbbells02_indoor,fit,sandals,glove,True,uncertain,uncertain,可见红黑色带衬垫的弯曲物件，但缺少可确认手套类别的手指或穿戴结构。,手持黑红物体带字样，无法根据该分辨率可靠确认为凉鞋。,d047e977c150cc9baf6b8174dc5763a633344dfcc1f8a97d7e24631fb04d2dc3,970a626ee103ebe3800dd537ae667373ba67824872c530140b7f7bf159e817f7
070,earphone02_indoor,fit,headphones,headphones,False,supported,supported,可见蓝色头戴式耳机的头梁与耳罩。,蓝色头戴耳机形状明确；线缆不明显。,76086a98aeac94a63b669ef2e8667acbcefb8c2825a1ba54a8fa2847762a1a88,a39508d76b453aae9449e1efd8d0eb5b71a01213316c786c18e6ab96cf05c208
071,egg_indoor,development,egg,pillow,True,supported,conflicting,目标为蛋托内的白色蛋形物体，未见枕头结构。,蛋及蛋托可见。,ce38a4f15ec714f4b892b1a60223b49be95e9cbfa2c5723ad9e68d52643d8b9c,2964b117f1329a02e905b05f57e767c1d0f42424c53ae04f42b274fb85506341
072,file02_indoor,fit,box,box,False,supported,conflicting,可见文件夹的书脊和圆形指孔等结构，更支持文件夹而非箱盒。,手持白色长方盒状物可见。,4262d7150f9d6df47d47289cec41164c63714d6efb4ca323c4fbefb5359cc33d,8440b0416a9b3166c4f17681e08233537df8baae2e0a00aafd1d3387f552b061
073,flower01_indoor,fit,flower,flower,False,supported,supported,可见白色花瓣与黄色花心。,浅色花朵与花瓣可见。,a8b16e6e138b8c8bd9692b675a83ec8e9f56397400e88cdc4987de66d48fec3b,e6e688d8cee5194af3926785a78ede1b8ba9ef1c67ae3c0f95e3e687ee436f20
074,flower02_wild,development,insect,flower,True,conflicting,supported,可见由小花构成的花簇。,框内为密集花簇，未见昆虫或翅膀。,ae58696cd66e62c113ba50c05f7e464fa4aa123e2dbfb46ffdbe7707c9469393,d95f20959530049914b22ca384d6112bc9473320231c8eb2565498708b4abe12
075,flower03_indoor,development,flower,flower,False,supported,supported,可见粉色花瓣构成的花朵。,粉色花朵可见。,dd5a4f7e598d8ae270342c351bfd8f531c543ff4ba28d16fc326697138fb38af,f87dedc8c8c9eacf5ff42f587845abf01a79870f7caf1bd7f4226ede950ac521
076,flowerbasket_indoor,development,basket,basket,False,supported,supported,可见悬挂的编织篮状容器。,棕色编织篮状容器可见。,82c32fa0b604eae0d9b80c75db7ee107514105ef0bb8b87595e3e180cc91937a,b45e9d5f6194d3cf76f92b4627c5f5491ffae9b47f6194a08377a93616100c07
077,ghostmask_indoor,development,mask,goggles,True,supported,conflicting,可见覆盖整张脸的面具轮廓及长嘴部，未见护目镜结构。,白色尖叫脸面具可见。,87f1350d59d5641ba5df7a6cacc5c95241455fa82ea2a4c839980c8f3b6a0e7b,cc084f6af5ee4761aec1a3d592b5ddf638be0d1650b1efe04b6ba11a173992d5
078,glass02_indoor,fit,glass,cup,True,supported,supported,可见透明玻璃杯体与杯柄。,透明带柄杯可见；水滴与玻璃反光不易区分。,29bacf5b6cea90381c10499deadf7548b755c61950dc83797ffb15af14194d13,a4523b432e89f0356919a77fdb029cfe4896c014ec48b433dae4310ee99764d9
079,glass03_indoor,development,glass,cup,True,supported,supported,可见透明饮用杯形容器。,透明杯身和圆底可见。,75cc8998f245b9cbf39022044c6c23a3bc08dfd0d972f03ba97f8aa4e4f81eff,f51ed9d897a2dc691ec2d26989d692b268fa32b46c556b6f96b1aa24196e8cda
080,glass04_indoor,fit,mug,mug,False,supported,supported,可见带柄的透明杯。,带柄杯形状可见；白色可能为曝光反光，不能排除透明材质。,4728e7054d534b28d920e3d8ee453b8fc8243a46a6a0e83641fe3b1de3ab85d2,2468302201de7c9c5c21537d033b4d563e490ff18a1cdcd39b8dfe931d7e0b02
081,glass05_indoor,fit,bottle,bottle,False,supported,supported,可见透明窄颈瓶的瓶口和瓶身。,透明瓶及细颈可见。,9cc911f72fea768ab63ed2a3a93460de89dbe6a151486e30df7b5fb92260d335,56f7b9a93e38587d9a81f29ba0aa6a709f380f04b10ed4a42987e3a2ca3c16c8
082,guitarbag_indoor,fit,guitar case,guitar case,False,supported,supported,可见吉他轮廓的软质携带包。,吉他轮廓的包套及印刷花纹可见。,0b30e1de3c1c545d147c6dfd795d21060b6810c422636b7cc3d3d581e699d94b,461922e93c3e173d42a843bc95cc4b5dc4e9e43caa7dc532696e3af166babb0f
083,gymring_wild,fit,ring,gym equipment,True,supported,supported,可见户外悬挂圆环等运动设施，支持宽泛的运动器材类别。,绿色圆环可见。,5cca7ed86555d23907c0d826d8284d42dd8d2d890b3b58bf3db505c5c4eaa737,b0a76ebae03d946c7f88d007a64703a547af0d3a7cae3dcbb31bf5d36d6ad8b8
084,hand02_indoor,fit,guitar case,hand,True,conflicting,supported,可见伸开的人的手及手指。,红框和紧裁剪为手掌；吉他包在框外背景，文字指向了另一物体。,0e04d4efd036ce841ba98b4afafbeeff232d75612a9a73a1289a20c0d12f5caa,a92ee289ed59b4a84bc2bf927a81fdd6a43af2cd1ca32ce738ebed9c2609947f
085,hat01_indoor,fit,hat,hat,False,supported,supported,可见灰色有帽檐的帽子。,灰色帽子及黑色帽带可见。,21504300dc9ea8b11ebb218ccf5d8a6087f45b098909e6a6ef0b1b6ddb7dfc5d,6077116369f7785a1c91ff1e53e01318e84f09bc0f626e059924f62a8482000c
086,hat02_indoor_320,fit,helmet,helmet,False,supported,supported,可见红黑色带通风孔的头盔。,悬挂的红黑头盔可见；文字内容未核验。,cbe1c00e7738069a2c4a4ec8e435a55cbe2b1950088369efadc429fa3ec5a6e2,2f33f87b05dd95652771f58414850eb1acc3ce05f02c81a0fcd3b4f0b9ba9c8d
087,hat03_indoor,fit,remote control,cat,True,uncertain,conflicting,目标为桌面上小型深色物件，未见猫的身体或四肢轮廓。,黑色长条物及亮点可见，不能可靠确认为遥控器。,fe52c784a69efd3717238ff64754c7d21f5cb4e9c8c97282f6e2504ba75356b4,6ce3ed120eef0dbcef6e0375376c2114b45d388416adca557276fc225de9f28a
