anchor_key,sequence,anchor,direction,run_length,native_failed,category_failed,empty_failed,swapped_failed
earphone01_indoor_1@0F,earphone01_indoor_1,0,forward,1085,False,False,False,False
earphone01_indoor_1@50F,earphone01_indoor_1,50,forward,1035,False,False,False,False
earphone01_indoor_1@100F,earphone01_indoor_1,100,forward,985,False,False,False,False
earphone01_indoor_1@150F,earphone01_indoor_1,150,forward,935,False,False,False,False
earphone01_indoor_1@200F,earphone01_indoor_1,200,forward,885,False,False,False,False
earphone01_indoor_1@250F,earphone01_indoor_1,250,forward,835,False,False,False,False
earphone01_indoor_1@300F,earphone01_indoor_1,300,forward,785,False,False,False,True
earphone01_indoor_1@350F,earphone01_indoor_1,350,forward,735,False,False,False,False
earphone01_indoor_1@400F,earphone01_indoor_1,400,forward,685,False,False,False,False
earphone01_indoor_1@450F,earphone01_indoor_1,450,forward,635,False,False,False,False
earphone01_indoor_1@500F,earphone01_indoor_1,500,forward,585,False,False,False,False
earphone01_indoor_1@550B,earphone01_indoor_1,550,backward,551,False,False,False,False
earphone01_indoor_1@600B,earphone01_indoor_1,600,backward,601,False,True,False,False
earphone01_indoor_1@650B,earphone01_indoor_1,650,backward,651,False,False,False,False
earphone01_indoor_1@850B,earphone01_indoor_1,850,backward,851,False,False,False,False
earphone01_indoor_1@900B,earphone01_indoor_1,900,backward,901,False,False,False,False
earphone01_indoor_1@950B,earphone01_indoor_1,950,backward,951,False,False,False,False
earphone01_indoor_1@1000B,earphone01_indoor_1,1000,backward,1001,True,False,False,False
earphone01_indoor_1@1050B,earphone01_indoor_1,1050,backward,1051,False,False,False,False
earphone01_indoor_1@1084B,earphone01_indoor_1,1084,backward,1085,True,False,True,True
toy09_indoor_1@0F,toy09_indoor_1,0,forward,1339,True,True,True,True
toy09_indoor_1@50F,toy09_indoor_1,50,forward,1289,True,True,True,True
toy09_indoor_1@100F,toy09_indoor_1,100,forward,1239,True,True,True,True
toy09_indoor_1@150F,toy09_indoor_1,150,forward,1189,True,True,True,True
toy09_indoor_1@200F,toy09_indoor_1,200,forward,1139,True,True,True,True
toy09_indoor_1@250F,toy09_indoor_1,250,forward,1089,True,True,True,True
toy09_indoor_1@300F,toy09_indoor_1,300,forward,1039,True,True,True,True
toy09_indoor_1@350F,toy09_indoor_1,350,forward,989,True,True,True,True
toy09_indoor_1@400F,toy09_indoor_1,400,forward,939,True,True,True,True
toy09_indoor_1@450F,toy09_indoor_1,450,forward,889,True,True,True,True
toy09_indoor_1@500F,toy09_indoor_1,500,forward,839,True,True,True,True
toy09_indoor_1@550F,toy09_indoor_1,550,forward,789,True,True,True,True
toy09_indoor_1@600F,toy09_indoor_1,600,forward,739,True,True,True,True
toy09_indoor_1@650F,toy09_indoor_1,650,forward,689,True,True,True,True
toy09_indoor_1@700B,toy09_indoor_1,700,backward,701,True,True,True,True
toy09_indoor_1@750B,toy09_indoor_1,750,backward,751,True,True,True,True
toy09_indoor_1@800B,toy09_indoor_1,800,backward,801,True,True,True,True
toy09_indoor_1@850B,toy09_indoor_1,850,backward,851,True,True,True,True
toy09_indoor_1@900B,toy09_indoor_1,900,backward,901,True,True,True,True
toy09_indoor_1@950B,toy09_indoor_1,950,backward,951,True,True,True,True
toy09_indoor_1@1000B,toy09_indoor_1,1000,backward,1001,True,True,True,True
toy09_indoor_1@1050B,toy09_indoor_1,1050,backward,1051,True,True,True,True
toy09_indoor_1@1100B,toy09_indoor_1,1100,backward,1101,True,True,True,True
toy09_indoor_1@1250B,toy09_indoor_1,1250,backward,1251,True,True,True,True
toy09_indoor_1@1300B,toy09_indoor_1,1300,backward,1301,True,True,True,True
toy09_indoor_1@1338B,toy09_indoor_1,1338,backward,1339,True,True,True,True
duck03_wild_1@0F,duck03_wild_1,0,forward,218,False,False,False,False
duck03_wild_1@50F,duck03_wild_1,50,forward,168,False,False,False,False
duck03_wild_1@100F,duck03_wild_1,100,forward,118,False,False,False,False
duck03_wild_1@150B,duck03_wild_1,150,backward,151,False,False,False,False
duck03_wild_1@200B,duck03_wild_1,200,backward,201,False,False,False,False
duck03_wild_1@217B,duck03_wild_1,217,backward,218,False,False,False,False
two_tennis_balls_3@0F,two_tennis_balls_3,0,forward,130,True,True,True,True
two_tennis_balls_3@50F,two_tennis_balls_3,50,forward,80,True,True,True,True
two_tennis_balls_3@100B,two_tennis_balls_3,100,backward,101,False,True,False,True
two_tennis_balls_3@129B,two_tennis_balls_3,129,backward,130,True,True,False,False
cube05_indoor_6@0F,cube05_indoor_6,0,forward,728,False,False,False,False
cube05_indoor_6@47F,cube05_indoor_6,47,forward,681,False,False,False,False
cube05_indoor_6@100F,cube05_indoor_6,100,forward,628,True,True,True,True
cube05_indoor_6@150F,cube05_indoor_6,150,forward,578,False,False,False,False
cube05_indoor_6@200F,cube05_indoor_6,200,forward,528,False,False,False,False
cube05_indoor_6@250F,cube05_indoor_6,250,forward,478,False,False,True,False
cube05_indoor_6@300F,cube05_indoor_6,300,forward,428,False,True,True,False
cube05_indoor_6@350F,cube05_indoor_6,350,forward,378,False,False,False,False
cube05_indoor_6@400B,cube05_indoor_6,400,backward,401,False,False,False,False
cube05_indoor_6@450B,cube05_indoor_6,450,backward,451,False,False,False,False
cube05_indoor_6@500B,cube05_indoor_6,500,backward,501,False,False,False,False
cube05_indoor_6@550B,cube05_indoor_6,550,backward,551,False,False,False,False
cube05_indoor_6@600B,cube05_indoor_6,600,backward,601,False,False,False,False
cube05_indoor_6@650B,cube05_indoor_6,650,backward,651,False,False,False,True
cube05_indoor_6@700B,cube05_indoor_6,700,backward,701,False,False,False,True
cube05_indoor_6@722B,cube05_indoor_6,722,backward,723,False,False,False,False
duck03_wild_2@0F,duck03_wild_2,0,forward,247,False,False,False,False
duck03_wild_2@50F,duck03_wild_2,50,forward,197,False,False,False,False
duck03_wild_2@100F,duck03_wild_2,100,forward,147,False,False,False,False
duck03_wild_2@150B,duck03_wild_2,150,backward,151,False,False,False,False
duck03_wild_2@200B,duck03_wild_2,200,backward,201,False,False,False,False
duck03_wild_2@246B,duck03_wild_2,246,backward,247,False,False,False,False
cube02_indoor_1@0F,cube02_indoor_1,0,forward,572,False,False,False,False
cube02_indoor_1@50F,cube02_indoor_1,50,forward,522,False,False,False,False
cube02_indoor_1@100F,cube02_indoor_1,100,forward,472,False,False,False,False
cube02_indoor_1@150F,cube02_indoor_1,150,forward,422,False,False,False,False
cube02_indoor_1@200F,cube02_indoor_1,200,forward,372,False,False,False,False
cube02_indoor_1@250F,cube02_indoor_1,250,forward,322,False,False,False,False
cube02_indoor_1@300B,cube02_indoor_1,300,backward,301,True,True,True,True
cube02_indoor_1@350B,cube02_indoor_1,350,backward,351,True,True,True,True
cube02_indoor_1@400B,cube02_indoor_1,400,backward,401,True,True,True,True
cube02_indoor_1@450B,cube02_indoor_1,450,backward,451,True,True,True,True
cube02_indoor_1@506B,cube02_indoor_1,506,backward,507,True,True,True,True
cube02_indoor_1@550B,cube02_indoor_1,550,backward,551,True,True,True,True
cube02_indoor_1@569B,cube02_indoor_1,569,backward,570,True,True,True,True
cube02_indoor_2@0F,cube02_indoor_2,0,forward,590,False,False,False,False
cube02_indoor_2@50F,cube02_indoor_2,50,forward,540,False,False,False,False
cube02_indoor_2@91F,cube02_indoor_2,91,forward,499,False,False,False,False
cube02_indoor_2@150F,cube02_indoor_2,150,forward,440,False,False,False,False
cube02_indoor_2@200F,cube02_indoor_2,200,forward,390,False,True,True,False
cube02_indoor_2@250F,cube02_indoor_2,250,forward,340,False,False,False,False
cube02_indoor_2@300F,cube02_indoor_2,300,forward,290,False,False,False,False
cube02_indoor_2@350B,cube02_indoor_2,350,backward,351,False,False,False,False
cube02_indoor_2@400B,cube02_indoor_2,400,backward,401,False,False,False,False
cube02_indoor_2@450B,cube02_indoor_2,450,backward,451,False,False,False,False
cube02_indoor_2@500B,cube02_indoor_2,500,backward,501,False,True,False,True
cube02_indoor_2@550B,cube02_indoor_2,550,backward,551,False,False,False,False
cube02_indoor_2@589B,cube02_indoor_2,589,backward,590,False,True,False,True
cube05_indoor_1@0F,cube05_indoor_1,0,forward,111,True,True,True,True
cube05_indoor_1@50F,cube05_indoor_1,50,forward,61,False,False,False,False
cube05_indoor_1@100B,cube05_indoor_1,100,backward,101,False,False,False,False
cube05_indoor_1@110B,cube05_indoor_1,110,backward,111,True,True,True,True
yogurt_indoor_1@0F,yogurt_indoor_1,0,forward,1609,False,False,False,False
yogurt_indoor_1@50F,yogurt_indoor_1,50,forward,1559,False,False,False,False
yogurt_indoor_1@100F,yogurt_indoor_1,100,forward,1509,False,False,False,False
yogurt_indoor_1@150F,yogurt_indoor_1,150,forward,1459,False,False,False,False
yogurt_indoor_1@200F,yogurt_indoor_1,200,forward,1409,False,False,False,False
yogurt_indoor_1@250F,yogurt_indoor_1,250,forward,1359,False,False,False,False
yogurt_indoor_1@300F,yogurt_indoor_1,300,forward,1309,False,True,False,True
yogurt_indoor_1@350F,yogurt_indoor_1,350,forward,1259,False,False,False,False
yogurt_indoor_1@400F,yogurt_indoor_1,400,forward,1209,False,True,False,False
yogurt_indoor_1@450F,yogurt_indoor_1,450,forward,1159,False,False,True,False
yogurt_indoor_1@500F,yogurt_indoor_1,500,forward,1109,False,False,False,False
yogurt_indoor_1@550F,yogurt_indoor_1,550,forward,1059,False,False,False,False
yogurt_indoor_1@600F,yogurt_indoor_1,600,forward,1009,False,False,False,False
yogurt_indoor_1@650F,yogurt_indoor_1,650,forward,959,False,True,True,False
yogurt_indoor_1@700F,yogurt_indoor_1,700,forward,909,False,True,False,True
yogurt_indoor_1@750F,yogurt_indoor_1,750,forward,859,False,False,False,False
yogurt_indoor_1@800F,yogurt_indoor_1,800,forward,809,False,False,False,False
yogurt_indoor_1@850B,yogurt_indoor_1,850,backward,851,False,False,False,False
yogurt_indoor_1@900B,yogurt_indoor_1,900,backward,901,True,True,True,True
yogurt_indoor_1@950B,yogurt_indoor_1,950,backward,951,False,True,True,True
yogurt_indoor_1@1000B,yogurt_indoor_1,1000,backward,1001,True,True,True,True
yogurt_indoor_1@1050B,yogurt_indoor_1,1050,backward,1051,False,False,False,False
yogurt_indoor_1@1100B,yogurt_indoor_1,1100,backward,1101,False,False,False,False
yogurt_indoor_1@1150B,yogurt_indoor_1,1150,backward,1151,False,False,False,False
yogurt_indoor_1@1200B,yogurt_indoor_1,1200,backward,1201,False,False,False,False
yogurt_indoor_1@1250B,yogurt_indoor_1,1250,backward,1251,False,False,True,True
yogurt_indoor_1@1300B,yogurt_indoor_1,1300,backward,1301,False,True,True,True
yogurt_indoor_1@1350B,yogurt_indoor_1,1350,backward,1351,False,False,False,False
yogurt_indoor_1@1400B,yogurt_indoor_1,1400,backward,1401,False,True,False,True
yogurt_indoor_1@1450B,yogurt_indoor_1,1450,backward,1451,False,True,True,False
yogurt_indoor_1@1500B,yogurt_indoor_1,1500,backward,1501,False,False,False,False
yogurt_indoor_1@1550B,yogurt_indoor_1,1550,backward,1551,False,False,False,False
yogurt_indoor_1@1600B,yogurt_indoor_1,1600,backward,1601,False,False,False,False
yogurt_indoor_1@1608B,yogurt_indoor_1,1608,backward,1609,False,False,False,True
cube05_indoor_2@0F,cube05_indoor_2,0,forward,146,False,False,False,False
cube05_indoor_2@50F,cube05_indoor_2,50,forward,96,False,False,False,False
cube05_indoor_2@100F,cube05_indoor_2,100,forward,46,False,False,False,False
cube05_indoor_2@145B,cube05_indoor_2,145,backward,146,False,False,False,False
cube05_indoor_4@0F,cube05_indoor_4,0,forward,299,True,True,True,True
cube05_indoor_4@50F,cube05_indoor_4,50,forward,249,True,False,True,True
cube05_indoor_4@100F,cube05_indoor_4,100,forward,199,True,True,True,True
cube05_indoor_4@149F,cube05_indoor_4,149,forward,150,True,True,True,True
cube05_indoor_4@199B,cube05_indoor_4,199,backward,200,False,False,False,True
cube05_indoor_4@249B,cube05_indoor_4,249,backward,250,False,False,False,False
cube05_indoor_4@298B,cube05_indoor_4,298,backward,299,False,False,False,False
humans_shirts_room_occ_1_A_2@0F,humans_shirts_room_occ_1_A_2,0,forward,602,True,True,True,True
humans_shirts_room_occ_1_A_2@50F,humans_shirts_room_occ_1_A_2,50,forward,552,True,True,True,True
humans_shirts_room_occ_1_A_2@100F,humans_shirts_room_occ_1_A_2,100,forward,502,True,True,True,True
humans_shirts_room_occ_1_A_2@150F,humans_shirts_room_occ_1_A_2,150,forward,452,True,True,True,True
humans_shirts_room_occ_1_A_2@200F,humans_shirts_room_occ_1_A_2,200,forward,402,False,False,False,False
humans_shirts_room_occ_1_A_2@250F,humans_shirts_room_occ_1_A_2,250,forward,352,False,False,False,False
humans_shirts_room_occ_1_A_2@300F,humans_shirts_room_occ_1_A_2,300,forward,302,False,False,False,False
humans_shirts_room_occ_1_A_2@350B,humans_shirts_room_occ_1_A_2,350,backward,351,False,False,False,False
humans_shirts_room_occ_1_A_2@400B,humans_shirts_room_occ_1_A_2,400,backward,401,False,False,False,False
humans_shirts_room_occ_1_A_2@450B,humans_shirts_room_occ_1_A_2,450,backward,451,False,False,False,False
humans_shirts_room_occ_1_A_2@500B,humans_shirts_room_occ_1_A_2,500,backward,501,False,False,False,False
humans_shirts_room_occ_1_A_2@550B,humans_shirts_room_occ_1_A_2,550,backward,551,True,True,True,True
humans_shirts_room_occ_1_A_2@564B,humans_shirts_room_occ_1_A_2,564,backward,565,True,True,True,True
ball06_indoor_2@0F,ball06_indoor_2,0,forward,337,True,True,True,True
ball06_indoor_2@50F,ball06_indoor_2,50,forward,287,True,True,True,True
ball06_indoor_2@99F,ball06_indoor_2,99,forward,238,True,True,True,True
ball06_indoor_2@149F,ball06_indoor_2,149,forward,188,True,True,True,True
ball06_indoor_2@199B,ball06_indoor_2,199,backward,200,True,True,True,True
ball06_indoor_2@248B,ball06_indoor_2,248,backward,249,False,True,True,True
ball06_indoor_2@298B,ball06_indoor_2,298,backward,299,True,True,True,True
ball06_indoor_2@329B,ball06_indoor_2,329,backward,330,True,True,True,True
robot_human_corridor_noocc_1_B_1@0F,robot_human_corridor_noocc_1_B_1,0,forward,897,False,False,False,False
robot_human_corridor_noocc_1_B_1@50F,robot_human_corridor_noocc_1_B_1,50,forward,847,False,False,False,False
robot_human_corridor_noocc_1_B_1@100F,robot_human_corridor_noocc_1_B_1,100,forward,797,False,False,False,False
robot_human_corridor_noocc_1_B_1@150F,robot_human_corridor_noocc_1_B_1,150,forward,747,False,False,False,False
robot_human_corridor_noocc_1_B_1@200F,robot_human_corridor_noocc_1_B_1,200,forward,697,False,False,False,False
robot_human_corridor_noocc_1_B_1@250F,robot_human_corridor_noocc_1_B_1,250,forward,647,False,False,False,False
robot_human_corridor_noocc_1_B_1@300F,robot_human_corridor_noocc_1_B_1,300,forward,597,False,False,False,False
robot_human_corridor_noocc_1_B_1@350F,robot_human_corridor_noocc_1_B_1,350,forward,547,False,False,False,False
robot_human_corridor_noocc_1_B_1@400F,robot_human_corridor_noocc_1_B_1,400,forward,497,False,True,True,True
robot_human_corridor_noocc_1_B_1@450B,robot_human_corridor_noocc_1_B_1,450,backward,451,False,False,False,False
robot_human_corridor_noocc_1_B_1@500B,robot_human_corridor_noocc_1_B_1,500,backward,501,False,False,False,False
robot_human_corridor_noocc_1_B_1@550B,robot_human_corridor_noocc_1_B_1,550,backward,551,False,False,False,False
robot_human_corridor_noocc_1_B_1@600B,robot_human_corridor_noocc_1_B_1,600,backward,601,False,False,False,False
robot_human_corridor_noocc_1_B_1@650B,robot_human_corridor_noocc_1_B_1,650,backward,651,False,False,False,False
robot_human_corridor_noocc_1_B_1@700B,robot_human_corridor_noocc_1_B_1,700,backward,701,False,True,False,False
robot_human_corridor_noocc_1_B_1@750B,robot_human_corridor_noocc_1_B_1,750,backward,751,False,False,False,False
robot_human_corridor_noocc_1_B_1@800B,robot_human_corridor_noocc_1_B_1,800,backward,801,False,False,False,False
robot_human_corridor_noocc_1_B_1@850B,robot_human_corridor_noocc_1_B_1,850,backward,851,False,False,False,False
robot_human_corridor_noocc_1_B_1@896B,robot_human_corridor_noocc_1_B_1,896,backward,897,False,False,False,False
squirrel_wild_1@0F,squirrel_wild_1,0,forward,368,False,False,False,False
squirrel_wild_1@50F,squirrel_wild_1,50,forward,318,False,False,False,False
squirrel_wild_1@100F,squirrel_wild_1,100,forward,268,False,False,False,False
squirrel_wild_1@150F,squirrel_wild_1,150,forward,218,False,False,False,False
squirrel_wild_1@200B,squirrel_wild_1,200,backward,201,False,False,False,False
squirrel_wild_1@250B,squirrel_wild_1,250,backward,251,False,False,False,False
squirrel_wild_1@300B,squirrel_wild_1,300,backward,301,False,False,False,False
squirrel_wild_1@350B,squirrel_wild_1,350,backward,351,False,False,False,False
squirrel_wild_1@362B,squirrel_wild_1,362,backward,363,False,False,False,False
humans_shirts_room_occ_1_B_1@0F,humans_shirts_room_occ_1_B_1,0,forward,511,False,False,False,False
humans_shirts_room_occ_1_B_1@50F,humans_shirts_room_occ_1_B_1,50,forward,461,False,True,True,False
humans_shirts_room_occ_1_B_1@100F,humans_shirts_room_occ_1_B_1,100,forward,411,False,False,False,False
humans_shirts_room_occ_1_B_1@150F,humans_shirts_room_occ_1_B_1,150,forward,361,False,False,False,False
humans_shirts_room_occ_1_B_1@200F,humans_shirts_room_occ_1_B_1,200,forward,311,False,False,False,False
humans_shirts_room_occ_1_B_1@250F,humans_shirts_room_occ_1_B_1,250,forward,261,False,False,False,False
humans_shirts_room_occ_1_B_1@300B,humans_shirts_room_occ_1_B_1,300,backward,301,False,False,False,False
humans_shirts_room_occ_1_B_1@350B,humans_shirts_room_occ_1_B_1,350,backward,351,False,False,False,False
humans_shirts_room_occ_1_B_1@400B,humans_shirts_room_occ_1_B_1,400,backward,401,False,False,False,False
humans_shirts_room_occ_1_B_1@450B,humans_shirts_room_occ_1_B_1,450,backward,451,False,False,False,False
humans_shirts_room_occ_1_B_1@500B,humans_shirts_room_occ_1_B_1,500,backward,501,False,False,False,False
humans_shirts_room_occ_1_B_1@510B,humans_shirts_room_occ_1_B_1,510,backward,511,False,False,False,False
